cast_member_list,vote_average,movie_count
 Larry Mullen Jr.,6.7,1
"""Weird Al"" Yankovic",6.7,1
50 Cent,6.55,4
A.D. Johnson,5.7,1
A.J. Buckley,5.966666666666666,3
A.J. Cook,5.9,1
A.J. DeLucia,3.3,1
AJ Bowen,6.0,1
AJ Michalka,6.0,1
Aaliyah,5.7,2
Aamir Khan,6.9,2
Aaran Thomas,6.0,1
Aaron Abrams,6.3,1
Aaron Eckhart,6.1850000000000005,20
Aaron Kwok,6.0,1
Aaron Murphy,7.3,1
Aaron Paul,5.82,5
Aaron Ruell,6.7,1
Aaron Stanford,5.8,2
Aaron Taylor-Johnson,6.4625,8
Aaron Wolff,6.6,1
Aaron Yoo,6.5,3
Aasheekaa Bathija,2.8,1
Aasif Mandvi,6.2,3
Abbas,5.0,1
Abbey Lee,6.4,1
Abbey Lincoln,7.0,1
Abbie Cornish,6.25,6
Abdul Salis,6.3,1
Abhinay Vaddi,5.0,1
Abhishek Bachchan,5.1,4
Abigail Bianca,5.0,1
Abigail Breslin,6.3428571428571425,14
Abigail Chu,5.5,1
Abigail Hargrove,6.7,1
Abigail Spencer,6.3,2
Abu George Shibli,6.8,1
Ace Marrero,4.2,1
Ada Choi,4.3,1
Adam Alexi-Malle,6.5,1
Adam Arkin,5.0,1
Adam Baldwin,7.0,2
Adam Barnett,5.2,1
Adam Beach,6.15,4
Adam Bousdoukos,7.1,1
Adam Boyd,5.9,1
Adam Brody,5.844444444444445,9
Adam Brooks,6.8,1
Adam Butcher,7.3,1
Adam Campbell,3.4000000000000004,2
Adam Carolla,6.55,2
Adam Clayton,6.7,1
Adam David Thompson,6.2,1
Adam Driver,6.425,4
Adam G. Sevani,6.55,2
Adam Garcia,5.3,4
Adam Goldberg,6.4,4
Adam Greaves-Neal,6.4,1
Adam Harrington,6.3,1
Adam Herschman,6.3,1
Adam Lamberg,5.7,1
Adam Levine,7.3,1
Adam Pascal,6.7,2
Adam Rayner,5.2,1
Adam Rifkin,5.5,1
Adam Rodríguez,6.15,2
Adam Sandler,5.970833333333334,24
Adam Scott,5.821428571428571,14
Adam Szyszkowski,7.1,1
Adam Trese,5.2,2
Adam West,6.1,1
Adar Beck,6.6,1
Addison Timlin,6.1,1
Adeel Akhtar,7.0,1
Adel Karam,6.8,1
Adelaide Clemens,5.0,1
Adelaide Kane,6.0,1
Adele Givens,6.4,1
Adele Mara,6.2,1
Adewale Akinnuoye-Agbaje,5.566666666666666,3
Adil Hussain,7.2,1
Adil Koukouh,7.6,1
Adilah Barnes,6.3,1
Adilet Usubaliyev,0.0,1
Aditya Roy Kapoor,7.2,1
Adolfo Celi,6.5,1
Adolph Davis,7.5,1
Adolphe Menjou,6.2,1
Adrian Dunbar,6.966666666666666,3
Adrian Gaeta,5.3,1
Adrian Gonzalez,6.2,1
Adrian Grenier,5.6000000000000005,3
Adrian Holmes,5.6,1
Adrian James,6.2,1
Adrian Lester,6.1,1
Adrian Paul,4.4,1
Adriana Barraza,7.5,2
