Year, Est. Avg. Price 
1910, 0.07 
1924, 0.25 
1929, 0.35 
1934, 0.23 
1935, 0.24 
1936, 0.25 
1939, 0.23 
1940, 0.24 
1941, 0.25 
1942, 0.27 
1943, 0.29 
1944, 0.32 
1945, 0.35 
1948, 0.40 
1949, 0.46 
1951, 0.53 
1953, 0.60 
1954, 0.45 
1956, 0.50 
1959, 0.51 
1961, 0.69 
1962, 0.70 
1963, 0.85 
1964, 0.93 
1965, 1.01 
1966, 1.09 
1967, 1.20 
1968, 1.31 
1969, 1.42 
1970, 1.55 
1971, 1.65 
1972, 1.70 
1973, 1.77 
1974, 1.87 
1975, 2.05 
1976, 2.13 
1977, 2.23 
1978, 2.34 
1979, 2.51 
1980, 2.69 
1981, 2.78 
1982, 2.94 
1983, 3.15 
1984, 3.36 
1985, 3.55 
1986, 3.71 
1987, 3.91 
1988, 4.11 
1989, 3.97 
1990, 4.23 
1991, 4.21 
1992, 4.15 
1993, 4.14 
1994, 4.18 
1995, 4.35 
1996, 4.42 
1997, 4.59 
1998, 4.69 
1999, 5.08 
2000, 5.39 
2001, 5.66 
2002, 5.81 
2003, 6.03 
2004, 6.21 
2005, 6.41 
2006, 6.55 
2007, 6.88 
2008, 7.18 
2009, 7.50 
2010, 7.89 
2011, 7.93 
2012, 7.96 
2013, 8.13 
2014, 8.17 
2015, 8.43 
2016, 8.65 
2017, 8.97 
2018, 9.01 
2019, 9.11 
2020, 9.37 
