movie_id,cast_size,cast_member_list,cast_1,cast_2,cast_3,cast_4,cast_5
19995,83,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang', 'Michelle Rodriguez']",Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,Michelle Rodriguez
285,34,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Chow Yun-fat']",Johnny Depp,Orlando Bloom,Keira Knightley,Stellan Skarsgård,Chow Yun-fat
206647,83,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux', 'Ralph Fiennes', 'Monica Bellucci']",Daniel Craig,Christoph Waltz,Léa Seydoux,Ralph Fiennes,Monica Bellucci
49026,158,"['Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy']",Christian Bale,Michael Caine,Gary Oldman,Anne Hathaway,Tom Hardy
49529,27,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Willem Dafoe', 'Thomas Haden Church']",Taylor Kitsch,Lynn Collins,Samantha Morton,Willem Dafoe,Thomas Haden Church
559,143,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Thomas Haden Church', 'Topher Grace']",Tobey Maguire,Kirsten Dunst,James Franco,Thomas Haden Church,Topher Grace
38757,13,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy', 'Ron Perlman', 'M.C. Gainey']",Zachary Levi,Mandy Moore,Donna Murphy,Ron Perlman,M.C. Gainey
99861,72,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson']",Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson
767,49,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Tom Felton', 'Michael Gambon']",Daniel Radcliffe,Rupert Grint,Emma Watson,Tom Felton,Michael Gambon
209112,152,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot', 'Amy Adams', 'Jesse Eisenberg']",Ben Affleck,Henry Cavill,Gal Gadot,Amy Adams,Jesse Eisenberg
1452,18,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth', 'James Marsden', 'Parker Posey']",Brandon Routh,Kevin Spacey,Kate Bosworth,James Marsden,Parker Posey
10764,32,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric', 'Judi Dench', 'Giancarlo Giannini']",Daniel Craig,Olga Kurylenko,Mathieu Amalric,Judi Dench,Giancarlo Giannini
58,33,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Bill Nighy']",Johnny Depp,Orlando Bloom,Keira Knightley,Stellan Skarsgård,Bill Nighy
57201,60,"['Johnny Depp', 'Armie Hammer', 'William Fichtner', 'Helena Bonham Carter', 'James Badge Dale']",Johnny Depp,Armie Hammer,William Fichtner,Helena Bonham Carter,James Badge Dale
49521,33,"['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Kevin Costner', 'Diane Lane']",Henry Cavill,Amy Adams,Michael Shannon,Kevin Costner,Diane Lane
2454,21,"['Ben Barnes', 'William Moseley', 'Anna Popplewell', 'Skandar Keynes', 'Georgie Henley']",Ben Barnes,William Moseley,Anna Popplewell,Skandar Keynes,Georgie Henley
24428,115,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson']",Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson
1865,35,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Kevin McNally', 'Geoffrey Rush']",Johnny Depp,Penélope Cruz,Ian McShane,Kevin McNally,Geoffrey Rush
41154,18,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin', 'Michael Stuhlbarg', 'Emma Thompson']",Will Smith,Tommy Lee Jones,Josh Brolin,Michael Stuhlbarg,Emma Thompson
122917,42,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Ken Stott', 'Graham McTavish']",Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott,Graham McTavish
1930,57,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans', 'Denis Leary', 'Campbell Scott']",Andrew Garfield,Emma Stone,Rhys Ifans,Denis Leary,Campbell Scott
20662,34,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow', 'William Hurt', 'Mark Strong']",Russell Crowe,Cate Blanchett,Max von Sydow,William Hurt,Mark Strong
57158,32,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Ken Stott', 'Graham McTavish']",Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott,Graham McTavish
2268,29,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig', 'Sam Elliott', 'Eva Green']",Dakota Blue Richards,Nicole Kidman,Daniel Craig,Sam Elliott,Eva Green
254,33,"['Naomi Watts', 'Jack Black', 'Adrien Brody', 'Thomas Kretschmann', 'Colin Hanks']",Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks
597,136,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher', 'Billy Zane', 'Kathy Bates']",Kate Winslet,Leonardo DiCaprio,Frances Fisher,Billy Zane,Kathy Bates
271110,100,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie']",Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan,Anthony Mackie
44833,46,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna', 'Brooklyn Decker', 'Tadanobu Asano']",Taylor Kitsch,Alexander Skarsgård,Rihanna,Brooklyn Decker,Tadanobu Asano
135397,28,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan', ""Vincent D'Onofrio"", 'Nick Robinson']",Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio,Nick Robinson
37724,24,"['Daniel Craig', 'Judi Dench', 'Javier Bardem', 'Ralph Fiennes', 'Naomie Harris']",Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes,Naomie Harris
558,76,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Alfred Molina', 'Rosemary Harris']",Tobey Maguire,Kirsten Dunst,James Franco,Alfred Molina,Rosemary Harris
68721,107,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall']",Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Guy Pearce,Rebecca Hall
12155,35,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover']",Mia Wasikowska,Johnny Depp,Anne Hathaway,Helena Bonham Carter,Crispin Glover
36668,32,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen', 'Patrick Stewart', 'Famke Janssen']",Hugh Jackman,Halle Berry,Ian McKellen,Patrick Stewart,Famke Janssen
